customerNo,uniqueTranId,transactionDate,amount,description
37451001,EG3299012893,18-09-2025,3470.81,Utility payment
37451505,AW2969690363,19-09-2025,1669.24,Online shopping
37451693,ZV9511368657,19-09-2025,1758.74,Online shopping
37451882,CY2446713353,18-09-2025,1888.56,Electronics
37452013,EM3645124325,19-09-2025,3887.35,Utility payment
37452111,JZ7839351668,19-09-2025,3698.31,Subscription
37451367,PJ0565508798,18-09-2025,109.29,Online shopping
37452387,CF1810749310,19-09-2025,2542.05,Grocery purchase
37451293,HH7805725754,18-09-2025,2297.32,Subscription
37451644,VR6583042459,19-09-2025,1362.8,Electronics
37451607,HE0176849371,18-09-2025,3151.18,Restaurant bill
37452121,DP0793398303,18-09-2025,2214.84,Miscellaneous
37452484,QN4785823163,18-09-2025,682.75,Online shopping
37452115,HP1397971128,18-09-2025,2413.45,Grocery purchase
37452245,MF4537737881,18-09-2025,3787.86,Utility payment
37452471,HY1389950807,18-09-2025,4704.22,Travel booking
37452479,FK3441990569,19-09-2025,2906.52,Grocery purchase
37451578,ID7286672198,19-09-2025,1879.54,Restaurant bill
37451393,OY3802441080,18-09-2025,1537.74,Travel booking
37451517,SA0002898582,18-09-2025,3313.98,Miscellaneous
37451174,JL7491936102,19-09-2025,4095.94,Medical expense
37451839,ZF8868704371,19-09-2025,3534.94,Utility payment
37451623,VP2992566253,18-09-2025,958.21,Online shopping
37452414,GC4447971219,18-09-2025,4203.0,Subscription
37452121,CK6084790493,19-09-2025,2319.65,Medical expense
37451066,JS5841841842,18-09-2025,1424.23,Fuel recharge
37451658,MD0832217427,19-09-2025,361.36,Miscellaneous
37452440,XW6400775170,19-09-2025,1406.16,Subscription
37452104,IK0506415631,18-09-2025,2431.68,Travel booking
37451021,BX4225593727,18-09-2025,2170.09,Subscription
37451809,JV4975962536,18-09-2025,4540.7,Electronics
37451281,JZ3092454907,18-09-2025,2219.88,Utility payment
37451285,CR2904600013,19-09-2025,2563.92,Restaurant bill
37452234,RC7458347154,19-09-2025,4798.34,Fuel recharge
37452011,WU9142443298,18-09-2025,2085.63,Travel booking
37451462,KQ5067136979,19-09-2025,47.95,Restaurant bill
37451540,JF7336645638,18-09-2025,1308.0,Grocery purchase
37451267,ZM4829832733,18-09-2025,3542.87,Restaurant bill
37451950,CV6381567643,19-09-2025,1001.9,Utility payment
37451102,QV9840660505,18-09-2025,3563.89,Utility payment
37451015,KN7371766047,19-09-2025,2926.84,Travel booking
37452101,XH4989429216,19-09-2025,2704.1,Utility payment
37451765,IK1932835258,19-09-2025,4633.89,Miscellaneous
37451633,GU5130639146,19-09-2025,2096.22,Travel booking
37451569,PL3560890146,19-09-2025,1861.81,Restaurant bill
37451403,LM8502957082,19-09-2025,1881.44,Online shopping
37452008,UP5416161548,19-09-2025,1086.01,Miscellaneous
37451493,WU5081381303,19-09-2025,3600.56,Utility payment
37451666,WH9607087172,18-09-2025,1583.33,Restaurant bill
37451576,YV1676982333,19-09-2025,2915.99,Travel booking
37452194,TL8235341077,19-09-2025,2687.25,Utility payment
37451087,WC8660577580,19-09-2025,4291.48,Electronics
37451692,NX5302379999,19-09-2025,1249.88,Medical expense
37452141,VL2793198613,18-09-2025,3334.5,Online shopping
37451069,DS6384551096,19-09-2025,2754.19,Online shopping
37451542,LI9104886351,19-09-2025,4232.16,Travel booking
